epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,2.9883642196655273,0.17100515961647034,2.1099953651428223,0.3719135820865631,64,0.001
2,1.6604511737823486,0.5109536051750183,1.364352822303772,0.5991512537002563,64,0.001
3,1.077950358390808,0.6793814301490784,1.0886192321777344,0.6913580298423767,64,0.001
4,0.7836686372756958,0.762499988079071,0.8928731083869934,0.7492284178733826,64,0.001
5,0.6318296194076538,0.8092783689498901,0.7750600576400757,0.7854938507080078,64,0.001
6,0.5282897353172302,0.835824728012085,0.882037878036499,0.7777777910232544,64,0.001
7,0.44817054271698,0.8639175295829773,0.8360814452171326,0.783178985118866,64,0.001
8,0.403481125831604,0.8779639005661011,0.7919440269470215,0.801311731338501,64,0.001
9,0.39086437225341797,0.8822165131568909,0.9730526804924011,0.7785493731498718,64,0.001
10,0.3650569021701813,0.8890463709831238,0.9822738766670227,0.7839506268501282,64,0.001
