epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,2.504795789718628,0.29110825061798096,1.4810577630996704,0.5682870149612427,32,0.001
2,1.1932886838912964,0.6555412411689758,1.0309661626815796,0.7125771641731262,32,0.001
3,0.7535229921340942,0.7784793972969055,0.7603592276573181,0.7897376418113708,32,0.001
4,0.5121894478797913,0.8478092551231384,0.6384537220001221,0.8287037014961243,32,0.001
5,0.3961295783519745,0.8775773048400879,0.6532709002494812,0.8136574029922485,32,0.001
6,0.31151169538497925,0.9027062058448792,0.6854291558265686,0.8314043283462524,32,0.001
7,0.25865817070007324,0.920360803604126,0.6445931196212769,0.8356481194496155,32,0.001
8,0.203286275267601,0.9396907091140747,0.6733888983726501,0.8433641791343689,32,0.001
9,0.1941528171300888,0.9412370920181274,0.615492582321167,0.8572530746459961,32,0.001
10,0.17696119844913483,0.9460051655769348,0.624244749546051,0.866126537322998,32,0.001
11,0.15568548440933228,0.9537371397018433,0.6289620399475098,0.8665123581886292,32,0.001
12,0.13457617163658142,0.9600515365600586,0.717282772064209,0.8761574029922485,32,0.001
13,0.12652122974395752,0.9643041491508484,0.6864376068115234,0.8692129850387573,32,0.001
14,0.12000227719545364,0.9632731676101685,0.8459592461585999,0.8290895223617554,32,0.001
