epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,2.9583187103271484,0.19471649825572968,2.601754665374756,0.2781635820865631,64,0.0001
2,2.1728155612945557,0.4213917553424835,1.9209507703781128,0.4957561790943146,64,0.0001
3,1.595819115638733,0.5759020447731018,1.4989699125289917,0.5933641791343689,64,0.0001
4,1.1688083410263062,0.695747435092926,1.1043615341186523,0.7241512537002563,64,0.0001
5,0.9008997678756714,0.7605670094490051,0.9295181632041931,0.7608024477958679,64,0.0001
6,0.7288077473640442,0.80296391248703,0.8213345408439636,0.7816358208656311,64,0.0001
7,0.5786317586898804,0.8374999761581421,0.7659531831741333,0.7920524477958679,64,0.0001
8,0.49596458673477173,0.8632732033729553,0.6848457455635071,0.832561731338501,64,0.0001
9,0.40809085965156555,0.8823453783988953,0.7507382035255432,0.8287037014961243,64,0.0001
10,0.34367436170578003,0.9011598229408264,0.6361327171325684,0.8541666865348816,64,0.0001
11,0.29654374718666077,0.9166237115859985,0.7126277685165405,0.8302469253540039,64,0.0001
12,0.25919777154922485,0.9257732033729553,0.6609993577003479,0.8460648059844971,64,0.0001
13,0.22260798513889313,0.9345360994338989,0.6760992407798767,0.8449074029922485,64,0.0001
14,0.19170783460140228,0.9434278607368469,0.6283885836601257,0.8587962985038757,64,0.0001
15,0.18256869912147522,0.9467783570289612,0.7284136414527893,0.8630401492118835,64,0.0001
16,0.1543496698141098,0.9541237354278564,0.9419599175453186,0.8329475522041321,64,0.0001
17,0.138338103890419,0.960180401802063,0.7362366914749146,0.8622685074806213,64,0.0001
18,0.1290237158536911,0.9627577066421509,0.7384552955627441,0.8699845671653748,64,0.0001
19,0.11115991324186325,0.9672680497169495,0.742847204208374,0.8580247163772583,64,0.0001
20,0.10899901390075684,0.9699742197990417,0.9578911066055298,0.8607252836227417,64,0.0001
21,0.10163246840238571,0.9703608155250549,0.6729696989059448,0.8726851940155029,64,0.0001
22,0.09611763060092926,0.9707474112510681,0.7179701924324036,0.8777006268501282,64,0.0001
23,0.08213380724191666,0.9771907329559326,0.9983015656471252,0.854938268661499,64,0.0001
24,0.09220169484615326,0.9735824465751648,0.712628185749054,0.875,64,0.0001
25,0.07038611173629761,0.9797680377960205,0.9738950133323669,0.8618826866149902,64,0.0001
26,0.07452503591775894,0.9801546335220337,0.8547170162200928,0.8668981194496155,64,0.0001
27,0.07029260694980621,0.9792525768280029,0.870582103729248,0.8653549551963806,64,0.0001
