epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.509467124938965,0.04085051640868187,3.385885238647461,0.046682097017765045,32,0.0001
2,3.36332368850708,0.05979381501674652,3.274364709854126,0.08294752985239029,32,0.0001
3,3.133206367492676,0.11404639482498169,2.9451632499694824,0.14467592537403107,32,0.0001
4,2.814683675765991,0.18853092193603516,2.6391050815582275,0.2357253134250641,32,0.0001
5,2.5450875759124756,0.25541236996650696,2.3958535194396973,0.3055555522441864,32,0.0001
6,2.2304468154907227,0.3462628722190857,2.0685513019561768,0.4139660596847534,32,0.0001
7,1.9219273328781128,0.43453606963157654,1.7548400163650513,0.4961419701576233,32,0.0001
8,1.6505401134490967,0.5115979313850403,1.5601123571395874,0.5570987462997437,32,0.0001
9,1.4149774312973022,0.5826030969619751,1.3946274518966675,0.584876537322998,32,0.0001
10,1.222791314125061,0.6320876479148865,1.2862694263458252,0.623071014881134,32,0.0001
11,1.0943446159362793,0.6692010164260864,1.1830787658691406,0.645061731338501,32,0.0001
12,0.9598196744918823,0.7118556499481201,1.129225730895996,0.6705247163772583,32,0.0001
13,0.873002290725708,0.7284793853759766,1.0672403573989868,0.6774691343307495,32,0.0001
14,0.7849889993667603,0.7649484276771545,1.0241373777389526,0.7006173133850098,32,0.0001
15,0.6940160393714905,0.7886598110198975,0.9914332032203674,0.7133487462997437,32,0.0001
16,0.6273151636123657,0.8100515604019165,0.9944080114364624,0.7175925970077515,32,0.0001
17,0.5735316872596741,0.8264175057411194,0.9794384837150574,0.7183641791343689,32,0.0001
18,0.5208753943443298,0.8431701064109802,0.9918050765991211,0.7233796119689941,32,0.0001
19,0.4703550338745117,0.8511598110198975,0.9905669689178467,0.7307098507881165,32,0.0001
20,0.4393106997013092,0.8668814301490784,0.9988623857498169,0.7264660596847534,32,0.0001
21,0.3986945152282715,0.8722938299179077,1.0026772022247314,0.7330247163772583,32,0.0001
22,0.36440593004226685,0.8842783570289612,0.988196074962616,0.7415123581886292,32,0.0001
