epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.517879009246826,0.037371132522821426,3.3854408264160156,0.04282407462596893,16,0.001
2,3.3586649894714355,0.05206185579299927,3.218271255493164,0.08024691045284271,16,0.001
3,3.157907724380493,0.08608247339725494,2.9553029537200928,0.15162037312984467,16,0.001
4,2.8930447101593018,0.1582474261522293,2.7104551792144775,0.20408950746059418,16,0.001
5,2.636115550994873,0.21971648931503296,2.509821653366089,0.2716049253940582,16,0.001
6,2.378175735473633,0.2918814420700073,2.2112390995025635,0.35262346267700195,16,0.001
7,2.1520817279815674,0.3545103073120117,2.0171234607696533,0.4135802388191223,16,0.001
8,1.9475206136703491,0.4173969030380249,1.8607473373413086,0.4548611044883728,16,0.001
9,1.7621235847473145,0.46791237592697144,1.785388708114624,0.47376543283462524,16,0.001
10,1.6200292110443115,0.5021907091140747,1.7359293699264526,0.5007715821266174,16,0.001
11,1.5144503116607666,0.5385309457778931,1.684104084968567,0.5192901492118835,16,0.001
12,1.4037340879440308,0.5726804137229919,1.547264814376831,0.5532407164573669,16,0.001
13,1.289101481437683,0.5985824465751648,1.53977632522583,0.560571014881134,16,0.001
14,1.213648796081543,0.6244845390319824,1.597460150718689,0.5640432238578796,16,0.001
15,1.1509736776351929,0.6469072103500366,1.5777674913406372,0.5628858208656311,16,0.001
16,1.0711084604263306,0.6729381680488586,1.5497663021087646,0.5802469253540039,16,0.001
17,1.0193101167678833,0.6833763122558594,1.504759669303894,0.5960648059844971,16,0.001
18,0.9757474064826965,0.6931701302528381,1.4648246765136719,0.5995370149612427,16,0.001
19,0.9394224286079407,0.7020618319511414,1.5162091255187988,0.5976080298423767,16,0.001
20,0.9099193215370178,0.7126288414001465,1.5458319187164307,0.6080247163772583,16,0.001
21,0.8586714863777161,0.7314432859420776,1.5975637435913086,0.6033950448036194,16,0.001
22,0.8541456460952759,0.7350515723228455,1.560059666633606,0.6099537014961243,16,0.001
23,0.8063846826553345,0.7472938299179077,1.6564903259277344,0.6130401492118835,16,0.001
