epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.7103893756866455,0.059922680258750916,3.054399013519287,0.11265432089567184,64,0.001
2,2.68894624710083,0.2296391725540161,2.484973192214966,0.3055555522441864,64,0.001
3,1.9811276197433472,0.4201031029224396,1.6838431358337402,0.5142747163772583,64,0.001
4,1.4953521490097046,0.5606958866119385,1.4417823553085327,0.5933641791343689,64,0.001
5,1.2068486213684082,0.6438144445419312,1.49478018283844,0.6041666865348816,64,0.001
6,1.0058892965316772,0.7117267847061157,1.4267773628234863,0.6238425970077515,64,0.001
7,0.8811648488044739,0.7421391606330872,1.4677278995513916,0.6334876418113708,64,0.001
8,0.804104745388031,0.7643041014671326,1.5524128675460815,0.6589506268501282,64,0.001
9,0.7327960729598999,0.7929123640060425,1.8790262937545776,0.6099537014961243,64,0.001
10,0.7248501777648926,0.7958762645721436,2.0612447261810303,0.6157407164573669,64,0.001
11,0.7114506363868713,0.8030927777290344,2.1684927940368652,0.647376537322998,64,0.001
