epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.436807632446289,0.06224226951599121,3.1316285133361816,0.1215277761220932,64,0.0001
2,2.9584274291992188,0.1586340218782425,2.652644395828247,0.2326388955116272,64,0.0001
3,2.5707733631134033,0.26211339235305786,2.3967392444610596,0.3090277910232544,64,0.0001
4,2.229328155517578,0.35399484634399414,2.159836769104004,0.3746142089366913,64,0.0001
5,1.9385281801223755,0.42731958627700806,1.991132140159607,0.42245370149612427,64,0.0001
6,1.6652861833572388,0.5091494917869568,1.7961866855621338,0.4818672835826874,64,0.0001
7,1.4488941431045532,0.5747422575950623,1.732642650604248,0.4926697611808777,64,0.0001
8,1.2357388734817505,0.6284793615341187,1.608600378036499,0.5381944179534912,64,0.0001
9,1.040117621421814,0.6905927658081055,1.5367181301116943,0.560571014881134,64,0.0001
10,0.9100998044013977,0.7242268323898315,1.51878023147583,0.5682870149612427,64,0.0001
11,0.7740469574928284,0.7648195624351501,1.5079982280731201,0.5744598507881165,64,0.0001
12,0.6740293502807617,0.7907216548919678,1.5154012441635132,0.5906635522842407,64,0.0001
13,0.5669801235198975,0.8243556618690491,1.5020642280578613,0.6014660596847534,64,0.0001
14,0.487362802028656,0.8501288890838623,1.4695290327072144,0.6184413433074951,64,0.0001
15,0.41837963461875916,0.8739690780639648,1.5462958812713623,0.6111111044883728,64,0.0001
16,0.3686778247356415,0.8823453783988953,1.5936640501022339,0.6165123581886292,64,0.0001
17,0.31837835907936096,0.9003865718841553,1.784027099609375,0.5945215821266174,64,0.0001
18,0.2761317491531372,0.9137886762619019,1.5002928972244263,0.6415895223617554,64,0.0001
19,0.24516399204730988,0.9226804375648499,1.5643718242645264,0.6346450448036194,64,0.0001
