epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.4070210456848145,0.07976803928613663,2.9210216999053955,0.18479938805103302,32,0.0001
2,2.7699835300445557,0.2163659781217575,2.4027462005615234,0.31404322385787964,32,0.0001
3,2.340128183364868,0.3197164833545685,2.112208127975464,0.3846450746059418,32,0.0001
4,2.015050172805786,0.40708762407302856,1.8485409021377563,0.4729938209056854,32,0.0001
5,1.7640396356582642,0.486340194940567,1.6417948007583618,0.5327932238578796,32,0.0001
6,1.5222290754318237,0.5560566782951355,1.455913782119751,0.5979938507080078,32,0.0001
7,1.329284906387329,0.6095361113548279,1.389599323272705,0.6060956716537476,32,0.0001
8,1.1672230958938599,0.656572163105011,1.2511385679244995,0.6504629850387573,32,0.0001
9,1.0246644020080566,0.6987113356590271,1.1682378053665161,0.6751543283462524,32,0.0001
10,0.9050621390342712,0.7319587469100952,1.1076092720031738,0.6867284178733826,32,0.0001
11,0.7768380045890808,0.7681701183319092,1.0830345153808594,0.6905864477157593,32,0.0001
12,0.6752070188522339,0.7948453426361084,1.0082381963729858,0.7175925970077515,32,0.0001
13,0.617343544960022,0.8136597871780396,0.980398952960968,0.7330247163772583,32,0.0001
14,0.5429598689079285,0.8340206146240234,0.9335091710090637,0.7492284178733826,32,0.0001
15,0.4683517813682556,0.8577319383621216,0.9615910053253174,0.741126537322998,32,0.0001
16,0.4203486442565918,0.8684278130531311,0.9711242318153381,0.7418981194496155,32,0.0001
17,0.3731519877910614,0.8823453783988953,0.9145922064781189,0.7573302388191223,32,0.0001
18,0.34307509660720825,0.8932989835739136,0.9216352701187134,0.7623456716537476,32,0.0001
19,0.2973773181438446,0.9033505320549011,0.9238536357879639,0.7681326866149902,32,0.0001
20,0.2619962990283966,0.919716477394104,0.979909360408783,0.7542438507080078,32,0.0001
21,0.238592267036438,0.9238402247428894,0.9888732433319092,0.7681326866149902,32,0.0001
22,0.22154290974140167,0.9277061820030212,0.9667960405349731,0.770061731338501,32,0.0001
